"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
0.995,0.959565905698885,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
0.995,0.959565905698885,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
0.995,0.959565905698885,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
0.99,0.929125223854907,30
1,1,31
1,1,32
1,1,33
1,1,34
0.995,0.959565905698885,35
0.995,0.959565905698885,36
1,1,37
1,1,38
1,1,39
0.995,0.959565905698885,40
1,1,41
1,1,42
0.99,0.929125223854907,43
1,1,44
0.995,0.959565905698885,45
1,1,46
1,1,47
0.995,0.959565905698885,48
0.995,0.959565905698885,49
1,1,50
